guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
5352,Marjorie's Three Gifts,en,2607,"Alcott, Louisa May","['Alcott, Louisa M. (Louisa May)', 'Barnard, A. M.', 'Alcott, L. M. (Louisa May)']",1406832952,[],,1315,1355205,2654250,Marjorie's Three Gifts,Marjorie's Three Gifts,Louisa May Alcott,Marjorie's Three Gifts (Large Print),"['marjorie', 'three', 'gifts']","['marjorie', 'three', 'gifts']",[1355205],[5352]
5370,Richard Carvel — Volume 06,en,651,"Churchill, Winston",[],1435377435,[],,2834066,4050183,13958516,"Richard Carvel, Volume 6","Richard Carvel, Volume 6",Winston  Churchill,,"['richard', 'carvel', 'volume', 'six']","['richard', 'carvel', 'volume', 'six']",[4050183],[5370]
5401,Old Rose and Silver,en,204,"Reed, Myrtle","['Green, Olive']",1406837741,[],,339522,1742438,1740090,Old Rose and Silver,Old Rose and Silver,Myrtle Reed,Old Rose and Silver,"['old', 'rose', 'silver']","['old', 'rose', 'silver']","[14743610, 1742438]",[5401]
5402,1811 Dictionary of the Vulgar Tongue,en,7155,"Grose, Francis",[],,[],eng,191787,18623293,324958,1811 Dictionary of the Vulgar Tongue,1811 Dictionary of the Vulgar Tongue,Francis Grose,1811 Dictionary of the Vulgar Tongue,"['one thousand, eight hundred and eleven', 'dictionary', 'vulgar', 'tongue']","['one thousand, eight hundred and eleven', 'dictionary', 'vulgar', 'tongue']","[8363133, 7184389, 18623293, 334469]",[5402]
5406,Afoot in England,en,918,"Hudson, W. H. (William Henry)","['Harford, Henry', 'Hudson, William Henry']",,[],,389792,6376198,1557419,Afoot in England,Afoot in England,William Henry Hudson,Afoot in England,"['afoot', 'england']","['afoot', 'england']","[12275020, 6376198]",[5406]
5417,"Struggling Upward, or Luke Larkin's Luck",en,955,"Alger, Horatio, Jr.","['Putnam, Arthur Lee', 'Starr, Julian', 'Preston, Charles F.']",0486247376,[],,2117358,982989,1245729,"Struggling Upward, Or, Luke Larkin's Luck","Struggling Upward, Or, Luke Larkin's Luck",Horatio Alger Jr.,"Struggling Upward, Or, Luke Larkin's Luck","['struggling', 'upward', 'luke', 'larkin', 'luck']","['struggling', 'upward', 'luke', 'larkin', 'luck']",[982989],[5417]
5420,Rab and His Friends,en,2277,"Brown, John",[],,[],eng,15855666,6829448,7039781,Rab and His Friends,Rab and His Friends,John       Brown,Rab and His Friends,"['rab', 'friends']","['rab', 'friends']",[6829448],[5420]
5422,The Masquerader,en,16110,"Thurston, Katherine Cecil",[],1421811588,[],,585912,1206697,2947593,The Masquerader,The Masquerader,Katherine Cecil Thurston,The Masquerader,['masquerader'],['masquerader'],[1206697],[5422]
5424,"Icelandic Primer with Grammar, Notes and Glossary",en,19487,"Sweet, Henry",[],,[],,305353,19090344,27118084,"Icelandic Primer with Grammar, Notes and Glossary","Icelandic Primer with Grammar, Notes and Glossary",Henry Sweet,,"['icelandic', 'primer', 'grammar', 'notes', 'glossary']","['icelandic', 'primer', 'grammar', 'notes', 'glossary']",[19090344],[5424]
5427,Emile,en,1369,"Rousseau, Jean-Jacques","['Rousseau, J. J. (Jean-Jacques)', 'Rousseau, Jean Jacques']",1419117688,[],,7994,202690,2854373,Emile,Emile,Jean-Jacques Rousseau,Emile ou de l'education,['emile'],['emile'],"[22681777, 202690, 2032614]",[5427]
5428,A Defence of Poetry and Other Essays,en,1104,"Shelley, Percy Bysshe","['Shelley, P. B. (Percy Bysshe)']",1406929131,[],,45882,375402,365275,A Defence of Poetry and Other Essays,A Defence of Poetry and Other Essays,Percy Bysshe Shelley,A Defence of Poetry and Other Essays,"['defence', 'poetry', 'essays']","['defence', 'poetry', 'essays']",[375402],[5428]
5429,Preface to Shakespeare,en,3981,"Johnson, Samuel",[],1406535087,[],,22191,1848905,1378415,Preface to Shakespeare,Preface to Shakespeare,Samuel Johnson,Preface to Shakespeare,"['preface', 'shakespeare']","['preface', 'shakespeare']",[1848905],[5429]
5430,Preface to a Dictionary of the English Language,en,3981,"Johnson, Samuel",[],1406535079,[],,22191,1848904,1849381,Preface to a Dictionary of the English Language,Preface to a Dictionary of the English Language,Samuel Johnson,Preface to a Dictionary of the English Language,"['preface', 'dictionary', 'english', 'language']","['preface', 'dictionary', 'english', 'language']",[1848904],[5430]
5435,The Stillwater Tragedy,en,1287,"Aldrich, Thomas Bailey","['Aldrich, T. B. (Thomas Bailey)']",1425032788,[],,287574,2785258,2811020,The Stillwater Tragedy,The Stillwater Tragedy,Thomas Bailey Aldrich,,"['stillwater', 'tragedy']","['stillwater', 'tragedy']",[2785258],[5435]
5436,Hyperion,en,787,"Longfellow, Henry Wadsworth",[],0554387484,[],,2697,7063720,13399746,Hyperion,Hyperion,Henry Wadsworth Longfellow,,['hyperion'],['hyperion'],[7063720],[5436]
5500,The Advancement of Learning,en,335,"Bacon, Francis","['St. Albans, Francis Bacon, Viscount', 'Verulam, Francis Bacon']",0375758461,['493875'],,50964,1513717,299954,The Advancement of Learning,The Advancement of Learning,Francis Bacon,The Advancement of Learning,"['advancement', 'learning']","['advancement', 'learning']","[309000, 1513717, 29341877]",[5500]
5603,Seven Icelandic Short Stories,en,16813,Ásgeir Pétursson,[],1907256636,[],eng,5427297,8302980,13151937,Seven Icelandic Short Stories,Seven Icelandic Short Stories,Asgeir Petursson,,"['seven', 'icelandic', 'short', 'stories']","['seven', 'icelandic', 'short', 'stories']",[8302980],[5603]
5604,Getting Married,en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",1148643028,[],,5217,12824188,2232615,Getting Married,Getting Married,George Bernard Shaw,Getting Married; Press Cuttings,"['getting', 'married']","['getting', 'married']","[19076482, 12824188, 3454245]",[5604]
5606,Guns of the Gods: A Story of Yasmini's Youth,en,1178,"Mundy, Talbot","['Gribbon, William Lancaster']",1406557323,['775740'],,92626,2665082,2690310,Guns of the Gods: A Story of Yasmini's Youth,Guns of the Gods: A Story of Yasmini's Youth,Talbot Mundy,Guns of the Gods: A Story of Yasmini's Youth,"['guns', 'gods', 'story', 'yasmini', 'youth']","['guns', 'gods', 'story', 'yasmini', 'youth']",[2665082],[5606]
5611,The Satyricon of Petronius Arbiter,en,2945,Petronius Arbiter,"['Petronius, Titus', 'Petronius, Gaius']",,[],eng,7900823,11423129,162443,The Satyricon of Petronius Arbiter,The Satyricon of Petronius Arbiter,Petronius Arbiter,Satyricon,"['satyricon', 'petronius', 'arbiter']","['satyricon', 'petronius', 'arbiter']",[11423129],[5611]
5612,The Arabian Nights Entertainments - Volume 01,en,141,Anonymous,['Anonyme'],,['909955'],eng,5158478,19417219,25731657,The Arabian Nights Entertainments Volume 01,The Arabian Nights Entertainments Volume 01,Anonymous,kitab 'alf layla@ walayla@ [kitab `alf layla wa-layla],"['arabian', 'nights', 'entertainments', 'volume', 'one']","['arabian', 'nights', 'entertainments', 'volume', 'one']",[19417219],[5612]
5615,The Pink Fairy Book,en,116,"Lang, Andrew","['Lang, Walter Andrew']",,['221231'],eng,18393,6347020,3273617,The Pink Fairy Book,The Pink Fairy Book,Andrew Lang,The Pink Fairy Book,"['pink', 'fairy', 'book']","['pink', 'fairy', 'book']","[423177, 18721682, 6347020, 26018073]",[5615]
5616,The Madman: His Parables and Poems,en,5196,"Gibran, Kahlil","['Gibran, Khalil']",,[],,6466154,20000601,6517,The Madman: His Parables and Poems,The Madman: His Parables and Poems,Kahlil Gibran,The Madman. His Parables and Poems.,"['madman', 'parables', 'poems']","['madman', 'parables', 'poems']","[20000601, 9782722, 9218094, 820151]",[5616]
5617,The Bobbsey Twins in Washington,en,396,"Hope, Laura Lee",[],,['211827'],,133257,18907982,841600,The Bobbsey Twins in Washington,The Bobbsey Twins in Washington,Laura Lee Hope,The Bobbsey Twins in Washington,"['bobbsey', 'twins', 'washington']","['bobbsey', 'twins', 'washington']",[18907982],[5617]
5624,The Inhumanity of Socialism,en,3039,"Adams, Edward F. (Edward Francis)","['Adams, Edward Francis']",1419167316,[],,3053984,6799183,7005065,The Inhumanity of Socialism,The Inhumanity of Socialism,Edward Francis Adams,,"['inhumanity', 'socialism']","['inhumanity', 'socialism']",[6799183],[5624]
5629,Dorothy Dale: A Girl of To-Day,en,4085,"Penrose, Margaret",[],1406586528.0,['508423'],,790338,7937240,13201619,Dorothy Dale: A Girl of Today,Dorothy Dale: A Girl of Today,Margaret Penrose,,"['dorothy', 'dale', 'girl', 'today']","['dorothy', 'dale', 'girl', 'day']",[7937240],"[5629, 28943]"
5631,Patty's Suitors,en,687,"Wells, Carolyn","['Houghton, Carolyn Wells']",,['372835'],,263526,6592676,6786363,Patty's Suitors,Patty's Suitors,Carolyn Wells,Patty's Suitors,"['patty', 'suitors']","['patty', 'suitors']",[6592676],[5631]
5632,Five Little Peppers Midway,en,3081,"Sidney, Margaret","['Sydney, Margaret']",,['238323'],,5315,17788053,1167398,Five Little Peppers Midway,Five Little Peppers Midway,Margaret Sidney,Five Little Peppers Midway,"['five', 'little', 'peppers', 'midway']","['five', 'little', 'peppers', 'midway']","[11085349, 8129939, 17788053]",[5632]
5642,Harry Heathcote of Gangoil: A Tale of Australian Bush-Life,en,155,"Trollope, Anthony",[],0192828460,[],,20524,2174456,557189,Harry Heathcote of Gangoil: A Tale of Australian Bushlife,Harry Heathcote of Gangoil: A Tale of Australian Bushlife,Anthony Trollope,Harry Heathcote of Gangoil: A Tale of Australian Bush-Life,"['harry', 'heathcote', 'gangoil', 'tale', 'australian', 'bushlife']","['harry', 'heathcote', 'gangoil', 'tale', 'australian', 'bush', 'life']",[2174456],[5642]
5654,What Every Woman Knows,en,3665,"Barrie, J. M. (James Matthew)","['Barrie, James Matthew', 'Barrie, J.M.']",0486295788,[],,5255014,752874,739002,What Every Woman Knows,What Every Woman Knows,J.M. Barrie,What Every Woman Knows,"['every', 'woman', 'knows']","['every', 'woman', 'knows']","[752874, 8528438]",[5654]
5657,The Practice of the Presence of God,en,14096,"Lawrence, of the Resurrection, Brother","['Laurent, de la Résurrection, frère', 'Herman, Nicolas', 'Laurent, de la Resurrection, frere', 'Lawrence, Brother', 'Herman, Nicholas']",,[],,66573,8223483,2133549,The Practice of the Presence of God,The Practice of the Presence of God,Brother Lawrence,The Practice of the Presence of God,"['practice', 'presence', 'god']","['practice', 'presence', 'god']","[25460385, 1929795, 17801668, 11250792, 1868554, 18926218, 11015663, 114992, 498641, 174936, 19248756, 25643028, 7178998, 18283255, 2064982, 7820569, 8223483, 1474430]",[5657]
5658,Lord Jim,en,692,"Conrad, Joseph","['Korzeniowski, Józef Konrad Teodor', 'Korzeniowski, Joseph Conrad Theodore', 'Korzeniowski, Jozef Konrad Teodor']",055321361X,[],eng,3345,1427357,2578988,Lord Jim,Lord Jim,Joseph Conrad,Lord Jim,"['lord', 'jim']","['lord', 'jim']","[780553, 1117962, 2073100, 30352785, 1668243, 6222228, 30309909, 25345429, 18891029, 7845399, 1427357, 7108511, 3362336, 28690719, 12194, 11024679, 541993, 2893610, 2328237, 1178687, 438081, 2498375, 15994699, 2563537, 81627, 659309, 47981, 47982, 12564592, 47984, 10331513, 1201658, 2316797]","[7874, 5658, 21435]"
5660,Mary Louise,en,731,"Baum, L. Frank (Lyman Frank)","['Baum, Lyman Frank', 'Bancroft, Laura', 'Metcalf, Suzanne', 'Van Dyne, Edith', 'Fitzgerald, Capt. Hugh']",0554116359,['371854'],eng,775677,6192369,6372668,Mary Louise,Mary Louise,Edith Van Dyne,Mary Louise,"['mary', 'louise']","['mary', 'louise']","[6192369, 7196655]",[5660]
5669,Considerations on Representative Government,en,1633,"Mill, John Stuart","['Mill, J. S. (John Stuart)']",1434651975,[],,57651,4161023,1041158,Considerations On Representative Government,Considerations On Representative Government,John Stuart Mill,Considerations on Representative Government,"['considerations', 'representative', 'government']","['considerations', 'representative', 'government']",[4161023],[5669]
5670,Jacob's Room,en,6166,"Woolf, Virginia","['Woolf, Virginia Stephen', 'Stephen, Virginia']",1935554360,[],eng,6765,10396610,3272732,Jacob's Room,Jacob's Room,Virginia Woolf,Jacob's Room,"['jacob', 'room']","['jacob', 'room']","[1178504, 7011725, 6324241, 4003477, 18364442, 1017775, 12058549, 683829, 752952, 10863297, 10396610, 284482, 14464453, 1036122, 576733, 18876008, 1152882, 9458931, 225396, 2327414, 225399]",[5670]
5676,A Double Story,en,50,"MacDonald, George",[],,[],,2413,19081225,18142663,A Double Story,A Double Story,George MacDonald,The Wise Woman: A Parable,"['double', 'story']","['double', 'story']",[19081225],[5676]
5677,Jimmie Higgins,en,1252,"Sinclair, Upton","['Sinclair, Upton Beall', 'Garrison, Frederick', 'Fitch, Clarke']",,[],,23510,19258517,2760580,Jimmie Higgins,Jimmie Higgins,Upton Sinclair,Jimmie Higgins,"['jimmie', 'higgins']","['jimmie', 'higgins']",[19258517],[5677]
5682,Fundamental Principles of the Metaphysic of Morals,en,3810,"Kant, Immanuel","['Kant, Emmanuel', 'Kant, I. (Immanuil)']",,[],en-GB,11038,17416333,375997,Fundamental Principles of the Metaphysics of Morals,Fundamental Principles of the Metaphysics of Morals,Immanuel Kant,Grundlegung zur Metaphysik der Sitten,"['fundamental', 'principles', 'metaphysics', 'morals']","['fundamental', 'principles', 'metaphysic', 'morals']","[22212797, 17416333, 1196711]",[5682]
5683,The Critique of Practical Reason,en,3810,"Kant, Immanuel","['Kant, Emmanuel', 'Kant, I. (Immanuil)']",0672602237,[],eng,11038,2713141,2917432,Critique of Practical Reason,Critique of Practical Reason,Immanuel Kant,Kritik der praktischen Vernunft,"['critique', 'practical', 'reason']","['critique', 'practical', 'reason']","[6394976, 2384949, 2713141, 154072]",[5683]
5685,The Conservation of Races,en,4954,"Du Bois, W. E. B. (William Edward Burghardt)","['DuBois, W. E. B. (William Edward Burghardt)', 'DuBois, W. E. Burghardt', 'Bois, W. E. B. Du']",,[],eng,10710,19507524,6598480,The Conservation of Races,The Conservation of Races,W.E.B. Du Bois,The Conservation of the Races,"['conservation', 'races']","['conservation', 'races']",[19507524],[5685]
5696,A Yankee Girl at Fort Sumter,en,11111,"Curtis, Alice Turner","['Turner, Alice']",1557095256,[],,61684,1108601,1095554,A Yankee Girl at Fort Sumter,A Yankee Girl at Fort Sumter,Alice Turner Curtis,A Yankee Girl at Fort Sumter,"['yankee', 'girl', 'fort', 'sumter']","['yankee', 'girl', 'fort', 'sumter']","[1108601, 13032718]",[5696]
5697,Tales of Chinatown,en,514,"Rohmer, Sax","['Ward, Arthur Sarsfield']",,['214566'],,90779,19189686,4823010,Tales of Chinatown,Tales of Chinatown,Sax Rohmer,Tales of Chinatown,"['tales', 'chinatown']","['tales', 'chinatown']","[4758218, 18276866, 19189686]",[5697]
5698,Fanny's First Play,en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",,[],,5217,9480320,1500886,Fanny's First Play,Fanny's First Play,George Bernard Shaw,Fanny's First Play,"['fanny', 'first', 'play']","['fanny', 'first', 'play']",[9480320],[5698]
5703,The Lord of Death and the Queen of Life,en,10489,"Flint, Homer Eon","['Flindt, Homer Eon']",,[],,665435,6328774,6514402,The Lord Of Death And The Queen Of Life,The Lord Of Death And The Queen Of Life,Homer Eon Flint,,"['lord', 'death', 'queen', 'life']","['lord', 'death', 'queen', 'life']","[15786024, 6328774]",[5703]
5707,The Boy Scout Aviators,en,3995,"Durston, George",[],1406826987,[],,474304,8436292,2645088,The Boy Scout Aviators,The Boy Scout Aviators,George Durston,The Boy Scout Aviators,"['boy', 'scout', 'aviators']","['boy', 'scout', 'aviators']",[8436292],[5707]
5709,La Vendée,en,155,"Trollope, Anthony",[],1419128930,[],,20524,395524,3249962,La Vendee,La Vendee,Anthony Trollope,La Vendee,"['la', 'vendee']","['la', 'vendée']",[395524],[5709]
5723,Press Cuttings,en,1657,"Shaw, Bernard","['Shaw, George Bernard', 'Shaw, Bernhard']",1407633651,[],,5217,8537348,2511767,Press Cuttings,Press Cuttings,George Bernard Shaw,Press Cuttings,"['press', 'cuttings']","['press', 'cuttings']",[8537348],[5723]
5727,The Tale of Freddie Firefly,en,1568,"Bailey, Arthur Scott",[],1406504491,['441229'],,309846,2752212,2545120,The Tale of Freddie Firefly,The Tale of Freddie Firefly,Arthur Scott Bailey,The Tale Of Freddie Firefly,"['tale', 'freddie', 'firefly']","['tale', 'freddie', 'firefly']",[2752212],[5727]
5731,Patty in Paris,en,687,"Wells, Carolyn","['Houghton, Carolyn Wells']",1419140345,['372828'],,263526,1895311,1896841,Patty in Paris,Patty in Paris,Carolyn Wells,Patty in Paris,"['patty', 'paris']","['patty', 'paris']",[1895311],[5731]
5733,Autobiography: Truth and Fiction Relating to My Life,en,484,"Goethe, Johann Wolfgang von","['Goethe, J. W. (Johann Wolfgang)', 'Von Goethe, Johann Wolfgang']",,[],,285217,6410425,1107134,The Autobiography: Truth and Fiction Relating to My Life,The Autobiography: Truth and Fiction Relating to My Life,Johann Wolfgang von Goethe,Aus meinem Leben: Dichtung und Wahrheit,"['autobiography', 'truth', 'fiction', 'relating', 'life']","['autobiography', 'truth', 'fiction', 'relating', 'life']",[6410425],[5733]
5735,The Valley of the Giants,en,4012,"Kyne, Peter B. (Peter Bernard)","['Kyne, Peter Bernard']",1432618997,[],,12009,3173112,3205561,The Valley of the Giants,The Valley of the Giants,Peter B. Kyne,The Valley of the Giants,"['valley', 'giants']","['valley', 'giants']",[3173112],[5735]
5742,The Bird-Woman of the Lewis and Clark Expedition,en,10389,"Chandler, Katherine",[],1419154060,[],,365262,682299,27558438,The Bird Woman of the Lewis and Clark Expedition,The Bird Woman of the Lewis and Clark Expedition,Katherine Chandler,,"['bird', 'woman', 'lewis', 'clark', 'expedition']","['bird', 'woman', 'lewis', 'clark', 'expedition']",[682299],[5742]
5743,The Evil Shepherd,en,257,"Oppenheim, E. Phillips (Edward Phillips)","['Oppenheim, Edward Phillips', 'Partridge, Anthony']",0554380978,[],eng,620801,6740042,933566,The Evil Shepherd,The Evil Shepherd,E. Phillips Oppenheim,The Evil Shepherd,"['evil', 'shepherd']","['evil', 'shepherd']","[24171216, 6740042, 948692]",[5743]
5744,The Fat and the Thin,en,213,"Zola, Émile","['Zola, Émile Édouard Charles Antoine']",,"['144564', '486107']",,4750,21444988,10242,The Fat And The Thin,The Fat And The Thin,Emile Zola,Le Ventre de Paris,"['fat', 'thin']","['fat', 'thin']",[21444988],[5744]
5745,She and Allan,en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",1576468313,"['183138', '331612']",eng,4633123,374518,706376,She and Allan,She and Allan,H. Rider Haggard,She and Allan,['allan'],['allan'],[374518],[5745]
5746,The Ancient Allan,en,86,"Haggard, H. Rider (Henry Rider)","['Haggard, Rider', 'Haggard, Henry Rider']",1603123075,"['183137', '449541']",,4633123,1939689,942102,The Ancient Allan,The Ancient Allan,H. Rider Haggard,The Ancient Allan,"['ancient', 'allan']","['ancient', 'allan']",[1939689],[5746]
5753,St. George and St. Michael,en,50,"MacDonald, George",[],,[],,2413,18679243,6627613,St. George and St. Michael,St. George and St. Michael,George MacDonald,St. George & St. Michael (George MacDonald Original Works),"['st', 'george', 'st', 'michael']","['st', 'george', 'st', 'michael']",[18679243],[5753]
